"Geneid","SRR1178046","SRR1178036","SRR1178020","SRR1178002","SRR1177999","SRR1177997","SRR1177989","SRR1177988","SRR1177987"
"NM_001000237",0,0,0,0,0,0,0,0,0
"NM_001000238",0,0,0,0,0,0,0,0,0
"NM_001000239",0,0,0,0,0,0,0,4,0
"NM_001000240",0,0,0,0,0,0,0,0,0
"NM_001000241",0,0,0,0,0,0,0,0,0
"NM_001000242",0,0,0,0,0,0,0,2,0
"NM_001000243",0,0,0,0,0,0,0,0,0
"NM_001000244",0,0,0,0,0,0,0,0,0
"NM_001000245",0,0,0,0,0,0,0,0,0
"NM_001000246",0,0,0,0,0,0,0,0,0
"NM_001000247",0,0,0,0,0,0,0,0,0
"NM_001000248",0,0,0,0,0,0,0,0,0
"NM_001000249",0,0,0,0,0,0,0,0,0
"NM_001000250",0,0,0,0,0,0,0,0,0
"NM_001000251",0,0,0,0,0,0,0,0,0
"NM_001000252",0,0,10,0,0,0,0,0,6
"NM_001000253",0,0,0,0,0,0,0,0,0
"NM_001000254",0,0,0,0,0,0,0,0,0
"NM_001000255",0,0,0,0,0,0,0,0,0
"NM_001000256",0,0,0,0,0,0,0,0,0
"NM_001000257",0,0,0,0,0,0,0,0,0
"NM_001000258",0,0,0,0,0,0,0,0,0
"NM_001000259",0,0,0,0,0,0,0,0,0
"NM_001000260",0,0,0,0,0,0,0,0,0
"NM_001000261",0,0,0,0,0,0,0,0,0
"NM_001000262",0,0,0,0,0,0,0,0,0
"NM_001000263",0,0,0,0,0,0,0,0,0
"NM_001000264",0,0,0,0,0,0,0,0,0
"NM_001000266",0,0,0,0,0,0,0,0,0
"NM_001000267",0,0,0,0,0,0,0,0,0
"NM_001000268",0,0,0,0,0,0,0,0,0
"NM_001000269",0,0,0,0,0,0,0,0,0
"NM_001000270",0,0,0,0,0,0,0,0,0
"NM_001000271",0,0,0,0,0,0,0,0,0
"NM_001000272",0,0,0,0,0,0,0,0,0
"NM_001000273",0,0,0,0,0,0,0,0,0
"NM_001000274",0,0,0,0,0,0,0,0,0
"NM_001000275",0,0,0,0,0,0,0,0,0
"NM_001000276",0,0,0,0,0,0,0,0,0
"NM_001000277",0,0,0,0,0,0,0,0,0
"NM_001000279",0,0,0,0,0,0,0,0,0
"NM_001000281",0,0,0,0,0,0,0,0,0
"NM_001000282",0,0,0,0,0,0,0,0,0
"NM_001000283",0,0,0,0,0,0,0,0,0
"NM_001000284",0,0,0,0,0,0,0,0,0
"NM_001000285",0,0,0,0,0,0,0,0,0
"NM_001000286",0,0,0,0,0,0,0,0,0
