"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001004239",2817.01177529927,0.143208959582512,0.130658538726089,0.240308524717299,0.458969526217979
"NM_001004240",745.643599972657,-0.157458138148832,0.184450800198455,0.326364742623771,0.551747548690335
"NM_001004241",1576.6968890432,0.295647324883791,0.16649416113693,0.0476790454826817,0.165918259985672
"NM_001004242",465.310429743122,0.112564189506301,0.245109415431842,0.549930020435717,0.736166130630493
"NM_001004243",557.296215202005,-0.129812144531393,0.17994074433589,0.409603771378574,0.626165664634305
"NM_001004244",779.706313430678,-0.0096387735581792,0.213132691706243,0.954094649361207,0.976050680117255
"NM_001004245",268.113660320636,-0.0253621442356539,0.199346953425741,0.879063275369939,0.941033875814036
"NM_001004246",42.9604027575201,0.467667895559043,0.364154340335994,0.0518998434842898,0.174797776374139
"NM_001004247",540.736033727376,0.0476187703310766,0.150677353234035,0.731169676646363,0.857073719731792
"NM_001004248",2894.58593217323,-0.424623555213657,0.160996629351403,0.00367697834532705,0.0284946249486345
"NM_001004249",1157.95296767291,1.96806489203422,0.259867763806504,2.40226973179403e-15,8.19699475045593e-13
"NM_001004250",3807.55502949308,0.085425636439914,0.150265628784482,0.539832554422095,0.728558078483571
"NM_001004251",615.285583604198,-0.19674953581482,0.166651102353028,0.186464681195102,0.392759577337174
"NM_001004252",827.718562471687,0.451040739245808,0.289180999187672,0.0383322722168397,0.143045140237755
"NM_001004253",782.995968401581,0.244225959611861,0.144387118292817,0.0662745887157747,0.206580712014714
"NM_001004254",334.172147235044,-0.15022175693166,0.187009774645313,0.352922477891581,0.577187222722428
"NM_001004255",1404.05760293274,0.0661547645578664,0.17284723444138,0.668028201325117,0.816783888084117
"NM_001004256",602.539761840455,0.0823272318313416,0.201350422721957,0.629828182089291,0.794177809059154
"NM_001004257",261.514197138281,0.110013030059678,0.174670771481028,0.477975351526885,0.683746030397348
"NM_001004258",620.292522204688,-0.0640457209334532,0.186679507211712,0.690870710190215,0.83122832087308
"NM_001004259",260.34390343672,-0.0249494207188006,0.184991991434078,0.876802187051398,0.940049935171379
"NM_001004260",5580.81542318481,-0.145925278750825,0.181586306805947,0.357585983661433,0.581456642680446
"NM_001004261",770.730176011349,-0.10021218825468,0.370943233603582,0.406277008208563,0.623749755834332
"NM_001004262",440.104099030229,0.26471553347345,0.178147986116317,0.0919622697070933,0.254865657811715
"NM_001004263",9.41939798554028,-0.0214695785485548,0.33227280035094,0.887429882032538,0.946181709004324
"NM_001004264",61.1409674084434,0.0206217785888238,0.336330209296262,0.894293664695265,0.950044295413448
"NM_001004265",32.8472900453734,0.599019526674685,0.471063394117136,0.0302396038442292,0.122245921649441
"NM_001004267",2101.16695729271,0.0814899611616947,0.167255255792995,0.587635164514191,0.763562718373297
"NM_001004268",166.664104929251,-0.340632905618793,0.236831032225398,0.0765824999040711,0.226798024532832
"NM_001004269",222.853353001164,-0.395440160514397,0.302606467147044,0.0698449828815576,0.214646036612363
"NM_001004270",158.454143389234,0.261429408048028,0.206936988688748,0.134008276781905,0.321025970640987
"NM_001004271",22353.6326505647,-0.0971140997268388,0.171710350384097,0.525289822269454,0.717180282193137
"NM_001004272",484.336075459253,-0.208362160994434,0.264209368390457,0.28681547670866,0.510517822022775
"NM_001004273",1526.81030093922,-0.0546041334452213,0.123972762162107,0.640752089545791,0.800683459115414
"NM_001004274",27776.8655418322,-0.302637465791913,0.24601395712637,0.114895113044166,0.290789526425123
"NM_001004275",1190.3783251294,0.33775046377998,0.127618095072757,0.00478470928808409,0.0346677111589848
"NM_001004276",685.415767369142,0.0367965420908701,0.142890955630935,0.782345704593449,0.886897273977227
"NM_001004277",528.689646584988,0.497957903557314,0.220052463828429,0.00772613155014423,0.0491331568992573
"NM_001004279",298.525754525569,-0.0253493721019068,0.223604254658501,0.886088562575278,0.945712536797319
"NM_001004280",1186.25456823054,-0.0548043667786635,0.124628725534251,0.638855654604449,0.799594783657265
"NM_001004281",612.556107218687,0.207460956613425,0.203880096276588,0.228559191427564,0.444696687668847
"NM_001004282",40.4026435100347,-0.447464637846546,0.363835457580285,0.0590897797536732,0.191284110622697
"NM_001004283",1580.59371552729,0.57912859416131,0.281372269539707,0.00918924033046203,0.0556502025337299
"NM_001004284",103.269237911937,-0.15433914228415,0.268829251517616,0.423980344983469,0.638729750498067
"NM_001004415",86.1447237494094,3.77276259514591,0.88644984151454,8.50968601514559e-07,3.81446187556045e-05
"NM_001004424",270.437680957017,0.305952245209414,0.335773029436323,0.156600500752274,0.353947602507572
"NM_001004443",2489.89272735791,-0.0570980403418369,0.160290771904371,0.691133507388351,0.831293981843292
"NM_001004444",310.885781325564,-0.111162764270746,0.189833841435698,0.496965728444261,0.696491950825682
"NM_001004445",266.289640844243,-0.0251832816951695,0.209986000763574,0.883250126400568,0.943844992187102
"NM_001004446",1270.58555034762,-0.561720579503327,0.280163709762623,0.0108279339530224,0.0629553838301657
"NM_001004448",34.3073868915057,-0.18076117401019,0.302657213792839,0.359376881442789,0.583152945233143
"NM_001005246",44.3536185452027,-0.312452309985594,0.337097001869554,0.147877136143544,0.342091196938846
"NM_001005381",178.615446520634,-0.128042247296012,0.240997137282874,0.491556250888093,0.69328735700954
"NM_001005383",1331.91303830069,-0.0279838904361115,0.16449525510197,0.848262921947718,0.923972193864517
"NM_001005384",420.816450575515,2.60432486787774,0.540958606129542,7.34712962993267e-08,4.71901814289616e-06
"NM_001005528",964.625701424244,0.666100346702742,0.178458021071137,4.33246089427399e-05,0.000933059970504491
"NM_001005529",567.850076604739,0.119549074422574,0.190643911140874,0.467928738968438,0.674425633228784
"NM_001005530",301.304469392112,-0.956725314619701,0.241114333351651,8.68792188171084e-06,0.000252296327197874
"NM_001005532",125.992929074587,-0.106595098809132,0.202261265248583,0.5305905298641,0.721304531322971
"NM_001005533",554.912703711814,-0.107712563618227,0.157790753686706,0.450484866268214,0.660424846238269
"NM_001005534",4010.49843872849,0.159601341454878,0.163431280983071,0.278073191572044,0.499963968182965
"NM_001005536",200.006639317156,0.241467799820618,0.312824171884657,0.242072688580416,0.460386722886654
"NM_001005537",1450.11469971748,0.100829726671799,0.156213984093742,0.478363310082319,0.684029463434893
"NM_001005538",337.2773974079,0.100913881823504,0.187610034355626,0.536026692580015,0.725526121521469
"NM_001005539",2736.57374009133,-0.112600037163358,0.189573411938417,0.488984281979362,0.691915322620044
"NM_001005541",773.288551844614,0.00682048077818342,0.148888437691259,0.961270481037215,0.98012068189797
"NM_001005542",63.2468036959273,0.0454621354328286,0.23209041928595,0.804997795276987,0.899761585282979
"NM_001005543",425.146231206414,0.193121769657913,0.243718769400821,0.309902361028546,0.534888532027977
"NM_001005544",27.3181519792556,0.611526221203068,0.490439890259266,0.0293151372755585,0.119416370677335
"NM_001005545",344.173104061916,0.181688813088145,0.153350685786752,0.193577891753474,0.400925075883191
"NM_001005546",1544.74668052428,-1.01584077027432,0.331909542600671,0.000214054219582117,0.00325977409151622
"NM_001005547",231.373371500332,0.136053578943496,0.225425978746896,0.455019693955941,0.663775556219762
"NM_001005548",470.898681699098,-0.672225149302628,0.194063945611931,0.000113089221278132,0.00195769989680759
