"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001107754",255.116360757677,-0.0900140885670654,0.154639930091816,0.441499454168415,0.770295275202694
"NM_001107755",33.3640556811954,-0.172846108348653,0.261637261189568,0.150881857146773,0.473543702752303
"NM_001107756",277.491836026361,0.304588223129969,0.209084019698686,0.0374621080670069,0.214601215532966
"NM_001107757",272.261854827926,-0.0572773406455458,0.144699154389958,0.613219762188048,0.869491918392843
"NM_001107758",102.834311233004,-0.122997302750884,0.190578603924567,0.317958875363047,0.674282991409797
"NM_001107760",158.385180166194,0.0996260720042883,0.167273248486635,0.407531022785328,0.74322230767622
"NM_001107762",96.0252027113035,0.346725267095323,0.340945627122838,0.0396616449944947,0.222329242181482
"NM_001107764",255.102909628492,0.1094980408807,0.145993694890753,0.342425035494868,0.691728730797533
"NM_001107766",72.0087719987149,-0.00023869790835124,0.178099657847914,0.999434715608073,0.999990748971285
"NM_001107767",100.923589205555,2.46908942803407,0.328995595225426,3.64101394197579e-15,6.29425603711233e-13
"NM_001107768",200.435901731278,-0.344966682715513,0.223153268423988,0.0251666992090305,0.168485317641703
"NM_001107769",11.3690446910515,-0.0516401260999793,0.223883939043994,0.504240860777893,0.806875716007383
"NM_001107770",1126.41842418507,0.200953114118152,0.136191977676408,0.0747661671136335,0.329229161513527
"NM_001107771",633.84663177605,0.0209273130991347,0.121335413281297,0.824243069165292,0.952273064063124
"NM_001107772",39.5587401833189,-0.179490725844284,0.257934017211315,0.149534937380995,0.472177229462625
"NM_001107773",172.551270820226,-0.10569091142376,0.166255400750977,0.379174490747455,0.719510790792095
"NM_001107774",719.496037937318,-0.0870136585518973,0.118067168084555,0.390698048145948,0.730137827815501
"NM_001107775",12.7843221169067,-0.072502802697664,0.23634082514387,0.287634159345533,0.646112693277165
"NM_001107777",371.756407963705,0.0761073332161184,0.232031866731746,0.346539325669943,0.695154125496996
"NM_001107778",37.6746044781493,0.0799551647623848,0.209042943307427,0.461196739251038,0.782883615288447
"NM_001107779",241.159296556363,0.438144103282939,0.235406026581556,0.00906879669772999,0.0840824939500606
"NM_001107780",8401.02934884943,-1.04837705874415,0.178609695065827,2.91474188468882e-10,2.81443274955808e-08
"NM_001107782",85.8286139943597,0.126333471942064,0.191258657555753,0.308589319126693,0.666155150533715
"NM_001107783",806.621234942464,0.0659893176982558,0.159703653713472,0.58098291731693,0.850563435022928
"NM_001107784",344.324937694559,0.196031523244572,0.166705006311979,0.118618312691189,0.422177068297439
"NM_001107786",391.925163480655,-0.343580879797144,0.217986112110021,0.0242491102994508,0.164286955872006
"NM_001107788",450.173463481387,0.142383702901794,0.144008729277868,0.215254029420404,0.564357310990187
"NM_001107789",2195.22904241307,0.189531894200165,0.158498591705787,0.12074921317677,0.425291040469596
"NM_001107790",187.561678122834,-0.0155189997592083,0.179840192522436,0.8893281003508,0.968327229950518
"NM_001107793",2389.68154180901,-0.31933301541303,0.141090599532161,0.00710353718504886,0.0707411169096651
"NM_001107794",101.538296110567,1.00794889594849,0.388793590939506,0.000479455234160866,0.00937737445207328
"NM_001107795",489.716121013172,0.144977450789471,0.132016017590037,0.186037877643488,0.523601000793805
"NM_001107796",28.5249176358897,0.698160764180777,0.667713010342796,0.00989787773708434,0.0892975198535942
"NM_001107797",674.95666849296,-0.067337281795313,0.129582317517021,0.530001571710485,0.820003631940108
"NM_001107799",1290.65087777616,-0.145676025462105,0.131838296616233,0.182902920289348,0.517702732241043
"NM_001107800",684.895904487619,0.230799481609751,0.163285195647322,0.0673416707917804,0.308579746706414
"NM_001107801",109.211155333945,0.563336813896856,0.259074897556418,0.00290393499229912,0.0377336697370677
"NM_001107802",86.5545966958933,-0.0312632136061744,0.1817196657467,0.78134953898614,0.93572063358861
"NM_001107803",559.325175407824,0.263656574541221,0.175585470840711,0.0468043627132492,0.247924707188612
"NM_001107804",161.753563107854,0.224349767829485,0.2005692390082,0.100432176505958,0.385541571558329
"NM_001107805",71.6083291970766,0.026347089194558,0.194827283241146,0.806609526510837,0.945661879801263
"NM_001107806",1227.4164662303,0.157532380472574,0.118124255175781,0.123090585725109,0.430154841148261
"NM_001107807",22.1935696763499,0.101362003984921,0.233883071017775,0.294688896236666,0.652712459157799
"NM_001107808",81.2146554620602,-0.07504546739222,0.182254342683658,0.523024472203322,0.816930383718334
"NM_001107809",933.33229185868,-0.100341724781742,0.151909721573621,0.389746999996924,0.729660846457122
"NM_001107810",984.261101117797,-0.127016913406884,0.13441589789886,0.248659626047151,0.606539342734039
"NM_001107811",718.997686167472,-0.0628660393197646,0.158599433837854,0.58803928698509,0.855716462809553
"NM_001107812",150.429168306435,0.190981819880432,0.203086156200924,0.151624659440241,0.475040368278429
"NM_001107813",345.495029516414,0.313558977790386,0.179128018594595,0.0220819817228196,0.154891806351558
"NM_001107815",272.187099951542,0.0523424405109473,0.154737456869661,0.652793795682375,0.887711845195499
"NM_001107816",83.7237683564331,0.0321947044317275,0.171637190573322,0.782811477151568,0.935937532024818
"NM_001107817",877.427760374764,0.0875182062194233,0.128587873106674,0.416735963072478,0.750587256605397
"NM_001107818",319.756544667221,0.157144990107407,0.162865032443472,0.19985831785551,0.543399657730937
"NM_001107819",157.961007597437,-0.273099938231679,0.184423554821105,0.0447438714671641,0.240678027278307
"NM_001107821",1033.60445972128,-0.306150083351513,0.146487795058449,0.0111952499469976,0.0981117652754872
"NM_001107824",133.83760713968,0.490937131016701,0.321271967069784,0.0121393333189001,0.104502945868463
"NM_001107825",33.111958328735,-0.00307797663163577,0.209875962863931,0.970166516366096,0.991312363024421
"NM_001107826",699.295709627251,0.131339491260989,0.152657064255178,0.266484348987937,0.625220692726051
"NM_001107827",345.563011203534,0.567415313214202,0.225301536903769,0.00124503090014272,0.0197400017569965
"NM_001107828",722.607744521428,0.344194926119833,0.153022238935285,0.00652192969685174,0.0663207234258605
"NM_001107831",259.021786568733,-0.0108321212196051,0.14991322567996,0.922275951615401,0.976798590155698
"NM_001107832",443.40153456112,-0.0221920967729543,0.134701640936318,0.836538010147889,0.954440535742503
"NM_001107833",221.758983397366,0.0376982330884617,0.151027919692772,0.743726675532904,0.921746358506205
