"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001039713",653.413695298635,0.0281564007027199,0.106297032791846,0.69914364332928,0.903320574632078
"NM_001039849",37.4379354930498,-0.0103171362607863,0.131206958553765,0.825957801240411,0.948887109527691
"NM_001039914",606.345400685794,-0.0654643565050002,0.112773131892287,0.373417383776946,0.733841244524516
"NM_001040019",3387.62664342776,-0.0388837769256464,0.14691033332246,0.0642788198899771,0.365190236398594
"NM_001040128",916.273730200219,0.387679926156317,0.168660538484305,0.00169960838625012,0.0558682299227777
"NM_001040154",728.515405634353,0.00513343666644113,0.10385356085398,0.942398810968078,0.984582602119774
"NM_001040155",807.504163355087,0.117807736438383,0.161712735051835,0.132353011808454,0.496586105082957
"NM_001040156",60.2143852713012,0.0344506895021182,0.133358283137304,0.516362207491861,0.816476779594024
"NM_001040176",2105.55265261059,-0.051478587988472,0.100705891767617,0.475389533790233,0.794119977608732
"NM_001040180",487.276447385506,-0.0500467775413608,0.113754163693323,0.48306800876247,0.797123363796713
"NM_001040189",6.79382581977479,-0.0144822696766345,0.139922747893593,0.46924665157044,NA
"NM_001042561",488.493530165277,-0.205535674924255,0.312256083028216,0.0278225045820014,0.248240675210796
"NM_001042579",19.1373605105005,0.0225913963640966,0.137968012136478,0.526928243961565,0.82069629505196
"NM_001042621",424.384324608387,-0.00939717915204462,0.102169623439516,0.892196785702432,0.968905989218163
"NM_001044224",24.53718724827,0.0128996932460027,0.136927573343179,0.700866978911642,0.904627129669923
"NM_001044225",725.290088517786,0.011331760590461,0.0959135543742068,0.872238968842272,0.964862897723102
"NM_001044226",95.8373526226486,0.069763599953279,0.138735030982329,0.29165627088076,0.675590466566569
"NM_001044227",13538.9651221985,-0.101042159988283,0.0956027030942892,0.168377990517941,0.546492453378226
"NM_001044228",839.024212189232,-0.117889375987601,0.160200853488536,0.130526487869236,0.494661857075524
"NM_001044232",122.482216359665,-0.0129209875420685,0.119349524327983,0.837045700649474,0.952422074525186
"NM_001044233",58.3994493432456,-0.0623831637060177,0.148999816496965,0.212354660157353,0.596989702085408
"NM_001044234",2662.79137762449,-0.0222926118933501,0.118062768167401,0.732002492065069,0.920229861726487
"NM_001044235",432.290470195136,-0.0538474161334406,0.109627754105394,0.456668434019607,0.785473210017514
"NM_001044236",712.55941553193,-0.220234007433768,0.129593032440414,0.0178829956208892,0.201442196744358
"NM_001044237",518.599476089401,0.264955777216846,0.185105535807596,0.0175566675342918,0.200218325755569
"NM_001044238",337.162285237803,0.0143703095585035,0.120741123225279,0.819400751286773,0.947081196399334
"NM_001044239",1337.96949626772,0.0714910604499223,0.103696666219975,0.334227016135418,0.70847131799455
"NM_001044241",2144.57276448261,0.0856954307851856,0.115841582160009,0.255163306404417,0.638870908437675
"NM_001044242",443.087595632652,0.290373779341754,0.168955445535467,0.00959249532559515,0.144915680440691
"NM_001044243",95.6632946040589,-0.0631445776370552,0.133357427978356,0.342216056502638,0.712424508589073
"NM_001044244",203.318115142684,-0.0228727570954453,0.117377128373967,0.727626529011394,0.917975000263962
"NM_001044245",527.215621532376,0.0184769500875619,0.113106375078913,0.786574369252887,0.935229381780481
"NM_001044247",7.34241365088969,0.0310636455092458,0.144074251683403,0.113810488996287,NA
"NM_001044248",424.852169777047,0.0346040535226853,0.122414439412529,0.595546007563552,0.855882636121455
"NM_001044249",108.80772807237,0.0911020946070683,0.153130122132114,0.183226041009307,0.563390067209671
"NM_001044250",1116.27008917517,-0.238881167707661,0.294760786559828,0.0250347454583418,0.234804867429334
"NM_001044251",1529.86016524816,-0.0587120202824071,0.122394738818513,0.40582940888533,0.755315169169551
"NM_001044252",6521.24557616068,0.0651918009884961,0.126984879889021,0.355789370901583,0.721617108829171
"NM_001044255",643.329388616779,0.048307472046145,0.118120408268214,0.493807971165879,0.801390481690565
"NM_001044257",72.5252881806951,0.050903015872567,0.136532277494574,0.379790380140219,0.738550247218934
"NM_001044258",98.0453851985453,0.0156089629732611,0.120829941853568,0.80372442887006,0.942092607742258
"NM_001044259",219.57262437427,-0.049536214265202,0.130537932453523,0.432944940815978,0.771592888698825
"NM_001044263",306.983103166551,-0.0514931741458639,0.124950993922325,0.444553877217609,0.779315315691949
"NM_001044265",2009.95491210113,0.0971169502031883,0.129492197869399,0.211824866539234,0.596269238936393
"NM_001044266",160.213905274248,0.101585968892893,0.172011511316332,0.109876773220529,0.458985099624197
"NM_001044267",384.021877797167,-0.0365486646462325,0.103939977404057,0.607388508038886,0.861492868025561
"NM_001044270",717.187531645158,0.0795663394713205,0.150736884295614,0.204211814815195,0.58590512400106
"NM_001044272",530.435772223064,-0.342533560107569,0.248502454417618,0.0113051176760596,0.15649119780718
"NM_001044275",753.163739381812,-0.340398682292235,0.147801536889948,0.00216030744825631,0.0652254626760423
